Review,date,Author,Location
"One of the best places you should visit at least once in life time. It is unique. Starting form Pattipola station you are entering in to a different world. you can see Lepord, Elk, Butterflies and unique plants to Horton planes.",2019/03/23,cabeysiriwardhane,
"We set off at 5a.m to drive uphill to the National Park. When we got there it was getting light, so we started walking uphill. It was a beautiful walk, to Little World's End and to the Bakers Falls. Near the end of the walk we saw a good waterfall. The walk took about 4 hours",2019/03/23,Pete B,
This country is getting into the worst direction i‘ve ever seen. Mass off dishonest people who rip off their tourists!!! The entry fees to all tourist attractions are massively overcharged because many Sri Lankan people including the Sri Lankan covernement thinks white people have money like crazy! Shame on you! This park is so overcharged too. Don‘t go!,2019/03/23,foodtraveler141,"Bern, Switzerland"
"Good idea to stop here...this place had significant historical significance.  Different kinds of architecture, interesting to see.  Easy to walk around but make sure to get a guide or read up before you get there.",2019/03/23,AuntNeeee,"Doha, Qatar"
"Far fewer people than the more famous Lion Rock, it provides fantastic views of the latter and the surrounding countryside.  It is much more of a hike, with a mixture of rough steps and scrambling over rocks, so wear good shoes.",2019/03/23,Nigel B,"Nice, France"
"Wouldn’t call it a trek, just an easy walk up the hill. But what a beautiful view it was! Especially after doing the real Adams Peak, this was a nice exercise the day after",2019/03/23,michabitte,"Copenhagen, Denmark"
If you’ve a spare hour or two this is a nice walk for the sunset. Don’t expect to be alone. Far from it.,2019/03/23,English_Ali,"London, United Kingdom"
"I am writing this review just as we decided from the cloud cover that rolled in on us at little Adam's peak. It is an easy walk up and you will begin to see gorgeous views of the valley, the opposite hills. You will pass by a little village as well as the Ravana zip line near the top. There is a nice view of 98 Acres resort as well and you can tell that that is a really posh place to stay. The views up top were amazing and we managed to take in a good view before the storm came in. Must visit if you are in Ella.",2019/03/23,AaronC3359,
"It was the last day in Ella and we didn’t have much time left so we went to Little Adam’s Peak by tuk-tuk. Driver dropped us near juice cafe and after that we had to climb on the peak - it took us about 20 minutes, not more. At the top there are 3 view points and they are really good. If you are not afraid of high places - you will really enjoy and take a picture on one of stones on a plumb. On the way dawn there is a rope descent - you will make half a way in 1 minute for 20 dollars.The way back we made on foot - about 35 minutes to Ella.",2019/03/23,4eba,"Moscow, Russia"
"The beach is beautiful,with waves crashing on the shore to add fun to your swimming experience. Hundreds of baby turtles hatched out and made their way to the sea during our visit. A lovely experience. Good,reasonably priced restaurants are plentiful on the seafront.",2019/03/23,JimmyHay,"Burgdorf, Switzerland"
"Morning ceremony is busy with lots of locals and a fair smattering of tourists.  Photography is allowed, and one can stay as long as you like.",2019/03/23,Nigel B,"Nice, France"
"We arrived early to avoid the crowds and heat. We also had a guide who was extremely informative and gave us a much more detailed insight into this place than if we had just relied on a guide book, he pointed out many things that we would have missed. Take bottled water but remove the plastic sleeve on the bottle before you arrive as it will save time queuing to have it checked. The climb is ok and there are plenty of places to take a rest and admire the view. By the time we came down at around 9 am it was getting very busy with queues on the staircases. It is a fascinating and beautiful place to visit.",2019/03/22,janeyg186284,"Cheltenham, United Kingdom"
Its a struggle to get to the summit (a proper climb on narrow staircases) but it is well worth it. Incredible views and sense of achievement.,2019/03/22,Millah65,"London, United Kingdom"
"I arrived the ticket counter before 7am. I suggest you go early in the morning to avoid lots of visitors and the heat.My friends and I were really enjoy climbing up and we had time to take a photo. When we were back around 10am, we could see ton of visitors all the way up. Hence, if you want to enjoy yourself ; start early.",2019/03/22,moommim,"Bangkok, Thailand"
"Had three glorious days in the Reserve and would return in an instant given the chance! It was the highlight of my 12 night trip to the island.

So much to see and the park guides are wonderful - we were lucky to have Santa...More",2019/03/22,KimM750,"Exeter, United Kingdom"
"It is national park in the mountains. Standard cirle is about 10 km, it tooks around 4 hours. Poular place, like great end of the world? looks not so attractive. Point of view cannot allow to see the beauty of this place. But if you cannot see, what is the reason to wake up at 4-00 am, spend time and money to get it, and walking 3-4 hours. Waterfall? It is not bad but it is not enough to be a reason to spend half day there. Really you no need to be there. If you are not hiker, of course.",2019/03/22,Alexanderfokichev,"Andreyevka, Russia"
"Horton Plains National Park is a protected area in the country of Sri Lanka and is covered by montains,grassland and clouded forest. This plateau, at an altitude of 2,100–2,300 metres is rich in biodiversity and many species found here are endemic to the region.We were staying at Maha Eliya wild life bungalow,this was calm and quite.It will add value to everybody who love the environment.",2019/03/22,RikazaA,"Badulla, Sri Lanka"
"As a location wise Horton Plains is very beautiful but service quality and safety is in very poor status. As if someone got injured there's no office of Wild life department office inside the forest also there's no safety fence in world's end or watch tower. Also, at the entrance there's a person who took the head count of the group and the time that they entered but after 18:00Hrs there's no one to check the headcount. Best time to enter the forest is early morning as after 14:00Hrs there's a mist and you can not see anything. But it's good for mind relaxing. At the exit there's a small cafeteria which selling not edible stuff and it's not worth for the price.",2019/03/22,Amila M,
"Worth a wander around and guess what the various buildings were used for. Good views of the surrounding area and famous cricket ground.

Would recommend walking along the extensive fort walls too keeping an eye open for monitors, sharks, crabs and lots of birds.",2019/03/22,KimM750,"Exeter, United Kingdom"
I rented a Tuk Tuk for 3 weeks at a great price from Dayan wasap +94776685331 Galle City tours in Galle or Ceylontusker in Negombo and had an absolutely fantastic time. I highly recommend this company he is extremely helpful and will also sort out your driving licence which saved lots of hassle and you can get on straight away to enjoy your holiday. I also had a driving lesson to make sure i knew how to use the Tuk Tuk properly which was brilliant. I had no problems with it as it was nearly new and very well maintained. I drove from Galle to Ahangama and then up to Ella fantastic .. Jo ... Ayubowan...X xx,2019/03/22,Jo T,
"Had a lovely time walking around Galle fort area. The cobbled streets, few boutique stores contributed to a good few hours in Galle.",2019/03/22,saumyaupadhyaya,"Bengaluru, India"
"Wr climbed Pidurangala instead of Sigiriya rock because we had been told that it was much more sheltered and less busy, as well as being significantly cheaper (500 lkr per person). While the climb was quite challenging, especially towards the end, the views were amazing....More",2019/03/22,Charlie C,
Take the time to climb Little Adam's Peak. It's worth it as the views are stunning. On the way up (or back down) check out 98 Acres Resort for a drink or meal..also fantastic!,2019/03/22,PWJRHUGO,
"The museum is big and very interesting. However, make sure you have enough water before you get in because you cannot re-enter again. There is no AC inside so it is hot and dehydrated.",2019/03/22,moommim,"Bangkok, Thailand"
"Fascinating walking along the fort walls and seeing where the cannons used to fire from, complete with the original metal 'train' rails that meant the cannons could fire anywhere in a wide arc.

Good view of the famous cricket ground and great place to bird...More",2019/03/22,KimM750,"Exeter, United Kingdom"
"Came to spend the day here as on our beach, ‘Narigama Beach’ waves are too big for swimming. For us it was too busy but for the couple of hours we spent here swimming and watching the Turtles it was worth the effort.Unlike Narigama there are loads of people trying to sell you things like clothes, coconuts , food, hits of snorkels or trips to other places etc etc. So if you like that sort of thing this would suit you.",2019/03/21,307cliver,"Royal Tunbridge Wells, United Kingdom"
I don't normally climb a mountain early in the morning but this was no ordinary mountain. Sigiria is the largest rock I have ever seen. Goodness knows how many steps we climbed but it was well worth the climb for the stunning views. Fancy ordering a Palace to be built in such a special place. Of course we had the usual Sri Lankan monkeys at every turn. The painted maidens were extremely voluptuous and could be seen at close hand in the museum after you have walked through the gardens. A wonderful experience and well worth the early start and the steep climb.,2019/03/21,Marjorie T,"Mold, United Kingdom"
We hired a personal driver to take us to the Sigiriya Rock from Colombo. This was around a four hour drive and we also visited the Pidurangala Rock and Dambulla Temple on this day.We paid 5400 rupees each to enter the Sigiriya Rock Site and it took us around two hours to reach the summit. This was mostly because of the queues on the stairs so this could change at different times of the day. We arrived at 09:30. It was a relatively easy walk and the delays on the stairs enabled some good rest stops. It was a really enjoyable morning. The rock has plenty of photo opportunities and the site itself has other places of interest to visit along the way. The views were spectacular and there are opportunities to see monkeys. There were warning signs about hornet nests which are situated on the rock but luckily no such swarms ended our walk prematurely. A must-see for all tourists!,2019/03/21,CroxleyJD,"Croxley Green, United Kingdom"
"We visited Lion Rock in early March. Without doubt it was one of the top things I did while in Sri Lanka. The only criticism I have is the cost. It is an extortionate amount to visit a location anywhere, let alone Sri Lanka... luckily there were only two of us. Despite the cost, i would strongly recommend visiting. You cannot visit Sri Lanka and not go here!!We skipped the museum as we had done a lot of reading prior to our visit so I am unable to comment on this, but the grounds themselves were incredible. Well worth a casual stroll before climbing the rock. We went around 10am in an attempt to avoid the high temperatures... didn’t happen. You get the sun and heat from every angle. I also suggest taking lots of water with you. The heat and the climb takes it out of you and there is nowhere to purchase water from. In addition, there is no hiding/getting out of the sun when at the top. The climb itself isn’t too taxing and you reach the top a lot sooner than you expect... but it will not disappoint. The ruins themselves and the views cannot he matched!! How anyone managed to climb to the top in the 14th century is beyond me.... let alone carry supplies and building materials. Very impressive.At the exit car park there are shops to rehydrate",2019/03/21,O3834UFdanielw,"London, United Kingdom"
"A very interesting ancient rocky location to visit with beautiful gardens. Difficult climb (1202 stairs) that may take an hour. Better not to take kids and to keep rehydrated. We were lucky that when we reached the top, the sky was clean and views from top were beautiful. Entry is 30 US$ per person",2019/03/21,delman1976,"Sulaymaniyah, Iraq"
"My wife and I visited this Reserve daily during our 3 day stay, during our Birdwatching Tour of Sri Lanka 🇱🇰. The Forest is rich in wildlife in particular the Endemic Bird Species of Sri Lanka 🇱🇰. We managed to record 19 of the 34...More",2019/03/21,Highland-Birder,"Tain, United Kingdom"
The beach is unspoilt .... and provides amazing walks. Visible flags indicating sea conditions. Very quiet if you require peace and solitude.,2019/03/21,bruce789,"South Molton, United Kingdom"
"We hired a personal driver to take us to the Pidurangala Rock from Colombo after climbing the Sigiriya Rock earlier that morning. This was around a four hour drive and we also visited the Dambulla Temple on this day.

The Pidurangala Rock cost 500 rupees...More",2019/03/21,CroxleyJD,"Croxley Green, United Kingdom"
"It's a steep climb but the trail is manageable for any age, with steps for the steepest bits. Apparently the thing to do is climb at dawn but we enjoyed it in ghetto afternoon just fine. The walk is very scenic and our tuk tuk was 500rs from town",2019/03/21,WanderingDavy,
"We like hiking and Little Adam Peak is a good ‘short’ hike. For the first 3/4 it’s fairly easy going, but the stairs at the end are a little tough. The views from the top are worth the effort, however. We started around 0930 which is about as late as I would have wanted to start as it was fairly hot by the time we got to the top. It’s a pleasant walk though tea plantations and there are tea pickers toiling away as they must do day after day to make their daily quota of 20kgs. There is also a zip line at about the half way point, so take take to reduce the full walk back down.",2019/03/21,andyffnz,"Auckland, New Zealand"
"We opted to begin our walk at 8am as we didn’t want to walk in the dark. It wasn’t too hot when we reached the top.The route for the walk is very clear once you reach the flower garden hotel on the road. The path is mainly concrete steps once you reach the incline and would be possible for most people.There is a local seeking water at the peak in case you forget, but our recommendation would be to take some food with you and have breakfast with the amazing views",2019/03/21,Georgie_Fresh,"Stanstead Abbotts, United Kingdom"
"Throughout Sri Lanka we've met so many nice people and although mirissa is very nice, the nice people are a rare sight, very few bars have friendly and kind staff..",2019/03/21,Martijn P,"Amstelveen, The Netherlands"
"The beach is clean, white sand and the ocean is warm. It wasn’t too busy and there were restaurants, hotels with sun lounges on the beach. Very relaxing atmosphere. Not too far away, towards Galle, is a perfect learners surf beach offering surf lessons and board hire. You can hire boards at Marissa but the waves are dumpers towards the afternoon and the water is flat earlier on. There is a spot if you are a fit, good surfer. There’s a break near the rocks (point) where you can catch some waves.",2019/03/21,Winksters,"Mullaloo, Australia"
This place is pricy and it is quite a climb but well worth it for the view. All info we found said it opens at 7am but the guy in our hotel told us 6.30. We were so pleased we took his advice as by the time we came back down 8.30(ish) the place was heaving with tourists and it was baking hot. Really would advise getting to the ticket office for opening at 6.30 am as it makes for a much more pleasant experience.,2019/03/20,ClaireB25,"Darlington, United Kingdom"
very nice but stupidly no cable car. so the claiming can be difficult for some  especially in the worm and the humidity,2019/03/20,5466,Rehovot
This is a must for all tourists and certainly worth the climb. However I would recommend getting there early! Firstly the are less people there so you can actually see the caves properly! Secondly the sun isn’t on you until you get to the top! Stunning views of the surrounding area. Well organised!,2019/03/20,Kaytie66,"Holmfirth, United Kingdom"
"We climbed this about 3-30 pm in the afternoon to avoid the morning crowds. This was a good decision taken by our driver Lasi on our Best of Sri Lanka tour.It took 2 fairly fit 62 year olds about 40 mins to get to the top , what a great all round view( quite safe as metal stairs up to the viewpoint)",2019/03/20,119claire,"Hoddesdon, United Kingdom"
"It's a walk up a rock with nice views but $60 US for 2 adults is ridiculous.

This is what you call ripping off the tourists 👎

It's a massive thumbs down from me",2019/03/20,upthedons,"Aberdeen, United Kingdom"
"Very nice and interesting place to visit. Made mistake by taking a local guide. He told nicely the history of the place, nut the pace was very fast about 2hrs whole visit, next time more slow place, might take 4-5hrs when no hurry. Guide was also quite expensive.",2019/03/20,VilleS328,
"It is nice to see the ruins and experience the history of Sri Lanka. 
Some of the ruins are just foundations others are better preserved. Good to see if you want to experience the history.",2019/03/20,572elainec,"Collie, Australia"
"A less crowded beach to laze around.Waters conducive to swimming.Ideal for sun tanning.Lots of good resorts around ,making it an ideal place to chill out.",2019/03/20,chavanr3,
A lovely beach with a collection of lovely restaurants with varying prices and menus. Just a shame that there seems to be lots of litter left around. A must see if you come to Mount Lavinia,2019/03/20,cookie1412,"Morley, United Kingdom"
"We pre-booked a jeep from the park. We were picked up early morning at our hotel by the nice driver. It had drizzled a bit in the night so most tracks were wet. Too bad we hired a jeep from the park, those Tata trucks are not as powerful. We got twice stuck and were pulled out by Toyota’s of other tour operators.The four hour drive through the park was good. We saw lots of animals. But unfortunately not the leopard. We didn’t encountered many other trucks. The park is really great and you really must visit here but take another company and not the jeeps from the park itself.",2019/03/20,Ativoo,"Dubai, United Arab Emirates"
"We were staying at the Amari Galle, which is a 10min tuk tuk ride away from the fort. It cost us 500Sr each way (£2). Our first driver offered to wait for us but there really is no need. There’s loads of tuk tuks around and it was easy getting back to our hotel. We had a leisurely walk around the walls which took about 40 mins at a slow pace. Along the way there was a very picturesque lighthouse and for cricket fans; a cracking view of the Galle Stadium. We also wandered the streets inside the walls, which had a very chilled out vibe and bags of colonial Dutch charm. Loads of restaurants around if you fancy a refreshment break. This was definitely worth seeing and would recommend. Iain, London",2019/03/20,Iain73,"London, United Kingdom"
"We visited Galle Fort for a few hours. It is a complete walled town dating back to the Dutch origins with interesting and intact buildings from that time. The walls are grassy park areas where games and general relaxation takes place. Within the walls there are a lot of touristy shops in addition to thriving business. For greatest enjoyment at this time of year, head there early in the day or later as it is very hot.",2019/03/20,cannygirl49,"Edinburgh, United Kingdom"
"All our guests happy with Galle fort  visit. nice sunset in the evening even restaurant shopping, and old buildings.",2019/03/20,Mallawa T,"Negombo, Sri Lanka"
The google maps location is correct. You can park the vehicle and start climbing from the temple entrance. You cannot wear shorts or sleeveless tops when passing the temple (which is like aroud 50m) . As an aternative you can use shawls to cover those...More,2019/03/20,ruwanjala,"Colombo, Sri Lanka"
I would recommend to go to pidurangala rather than sigiya rock ... the view is amazing and make sure u climb early in the morning (5am) so that you are on time for the sun rise. U defo don’t want to miss this. Also climbing...More,2019/03/20,Barwizard87,United Arab Emirates
"We walked up Little Adam’s peak in about 40 minutes in the morning. Do not confuse this with Adams peak , which has 5000 steps to the top and is a pilgrimage trek usually at dawn to see the sunrise. This one takes about 4 hours and about 2 down!It was not crowded and was quite pleasant .",2019/03/20,119claire,"Hoddesdon, United Kingdom"
"Little Adam's peak have an amazing view and it's quite easy to get there. The ""hike"" doesn't require any kind of physical shape, so it's suited for everyone.",2019/03/20,kresten2019,
U definitely don’t want to miss this. The view is stunning. It takes 20 min max to climb up. Their is a zip line on the way. Make sure u don’t carry bags so that u can take the zip line back( it’s only open till 5pm tho) so better climb before 1pm. As soon as you reach the top their is a beautiful sculpture of Sri BUDDHA . The view is stunning and breath taking. Be an explorer.,2019/03/20,Barwizard87,United Arab Emirates
"We walked here from town - take the first right off the main road with the Queens Hotel on the corner, takes 15 mins but last bit quite steep - and spent an idyllic couple of hours wandering around. Amazingly quiet after the noise of...More",2019/03/20,Nick M,St Albans
"Amazing shopping, not cheap but not over the top 

Great jewellery shops, with authentic designs.

Not hugely pressured with sales which is a nice break.

Lovely afternoon to wander the restaurants, shops and cafes 

Worth the trip !",2019/03/20,Rebecca P,
"The old town of Galle is a beautiful part of the city. Colonial vibes are mixed with authentic Sri Lankan atmosphere, which gives you a perfect opportunity for shopping and sighseeing. A walk in the old town and all around the fort (on the city...More",2019/03/20,lara21181,
"The Wall and its Fortifications are a great place for a walk, with magnificent views both out to sea and back over the internal part of the Fort - well worth the exercise.",2019/03/20,Maioha,"Freiburg im Breisgau, Germany"
"Visit early because it can be very hot and humid but ..... what a wonderful place.
Great views of Galle, the harbour, the beaches both east and west and the town.
Lovely old buildings tracing the history of Galle. Government buildings, sporting facilities etc.
Definitely...More",2019/03/20,Robyn B,
"After the disappointment of Colombo fort, this is such a fab place. Loads of quirky streets, not much traffic and lots of fun shops. Great walk round the ramparts, looking over what could be the smallest international cricket ground in the world",2019/03/20,Ian1964Pune,"Darlington, United Kingdom"
We loved Mirissa Beach especially just before sunset. We really enjoyed some very cheap gin and tonics whilst people watching and laughing at some of the surfing attempts. We loved that you could choose a lobster or fish fresh from that day’s catch and have it cooked. We really enjoyed the live singer one evening and the great atmosphere. It’s a nice beach to walk along,2019/03/20,katrinamarie,england
"We reached the temple early in the morning and had time enough to visit it before the crowd of the cerimony. Very eciting!
The atmosphere and the presence of musicians made the rest
Don't loose it!",2019/03/20,davidebS3937FZ,Gent
"Be prepared for crowds. Get there before 9:30 Am to queue up. Pick the left most line going up the stairs even if it does not seem to move. When the line moves, it will take you right by the window where you can view the casket. Don't miss the museum after the visit, giving the history of the tooth inside the casket.",2019/03/20,texas6006,Texas
"It is crowded at the pooja times called 'Thevava'. A lot of people come to take a view of the sacred tooth relic of the Buddha. However, the relic is not kept open. It is enclosed in a golden casket, and this casket in another, that in another, and so on. The outermost casket is big and golden, similar in the shape of a Buddhist pagoda. The sacred tooth relic will be openly exhibited only at a special exhibition event, and that too is an irregular and rare occasion. It is said that such exhibition of the tooth relic is done at an extreme drought condition in the Island, in order to start rain.White attire is accepted at this temple; long trousers of modest colour and decent white shirt is accepted for males, and any white clothing that well covers the body is accepted for females.Don't forget to visit the very interesting museum inside the temple, and the stuffed body of the tusker 'Raja' who carried the holy casket in the annual pageant for many years.",2019/03/20,Suresh D,"Kandy, Sri Lanka"
"Our guide took us to this temple, and it was one of the most impressive of our Asian tour. You will need to take off your shoes, and for a small price they will be put in a special area, although it didn't look much more protected than the sidewalk. The main temple and the one closest to the street is gorgeous. The exterior of the building is highly decorated, and the interior is stunning. There is not a lot of room inside for all of the statues, pillars, etc. but it is definitely worth a lingering look. Once you leave this building, things get very interesting. There is a centuries old sacred tree, but the most surprising thing about this temple was all of the ""stuff,"" and I do mean stuff. The faithful leave gifts and these gifts include beautiful religious objects, but also dining room sets, money clips, even artillery shells. These objects are housed in several buildings, and if you have a very diligent guide he will want you to see everything. By the time you arrive to the building with the machine gun behind a glass case, you will be exhausted. You might discuss with your guide that you are interested in the main features of the temple complex so that you won't end up spending more time than you wish. That said, it is very beautiful and worth the stop.",2019/03/20,gingerlee13,"Edmond, Oklahoma"
"Gangaramaya temple is nice place to visit if your in Colombo. Its situated in the heart of Colombo City in a beautiful surrounding. The temple complex  consists of a Bow tree, temple and a museum.",2019/03/20,mathankumard,"Colombo, Sri Lanka"
"They are keeping a YOUNG ELEFANT in POOR CONDITIONS and they are proud of this...at least, this is the answer that I got from the staff when I asked why they keep him trapped.",2019/03/20,Camelia T,
"- a refreshing visit from the rest of the bustling city
- expensive entrance fee for local standard
-",2019/03/20,babaa,"Toronto, Canada"
Oh my god I loved this beach. Fairly calm in terms of waves and you get to see Ridley Scotts and a lot of them! They just practically swam around us while we fed them seaweed. Experience never to be forgotten.,2019/03/19,Prattyush N,"Mumbai, India"
"Amazing sights from the top, fascinating history below. Totaly worth it if you get there early, but get ahead of schoolclasses and touristgroupes. We bought our ticket at 7.30, and were glad we were not later.",2019/03/19,Kristen L,"Oslo, Norway"
Although it was hot and crowded it's worth the effort if you don't mind heights. Some of the steps make you feel exposed even though it's perfectly safe. There are dogs and wild monkeys but they weren't a problem. The young Sri Lankan men who walk along side you offering to assist you every step of the way are a nuisance. Be firm with them and shrug them off otherwise they wont leave you alone and expect money. Spectacular views are your reward plus a sense of achievement.,2019/03/19,Csider65,"Heysham, United Kingdom"
"One of the must see if touring Sri Lanka - really interesting site, I do not advice if you're traveling with small kids.Watch out for the bee signs. Take lots of water it was around 34 degrees when we made the clim. We had a guide as part of our package which was good to get more information about the history of this site.",2019/03/19,yolandakay,France
"We got up at 5a.m. and drove to the National Park. To start with it w as dark and we drove up a steep road with many bends, we arrived at the park in an hour and it was getting lighter. Then we walked, through an area of grass and started climbing up until we reached the beautiful view of Little World's End and the Bakers Falls. Then we carried on doing a beautiful walk, Near the end of the walk we saw a lovely waterfall.",2019/03/19,478pam,"Caernarfon, United Kingdom"
"We like hiking but we’re a little confused by the 0500 pick up time. It turned out to be the best time to visit as there were very few people on the trails with us. We turned right that the beginning of the trail (taking the ‘long way’ to Worlds End when most groups take the left hand route) which meant most of the time, we had the trail to ourselves. We saw a deer up close and also a Leppord Foot Print in the sand. Worlds End was predictably crowded and we didn’t stay long - the nature and secery of the rest of the walk was more than enjoyable. A reasonable level of fitness is require to fully appreciate this hike. Do it early if you can stand the early start.",2019/03/19,andyffnz,"Auckland, New Zealand"
"Although you'll see plenty of wildlife it's a bit tame compared to safaris we've done in other countries. Setting off at dawn, waiting for the reserve to open along with loads of tourist packed jeeps made it look like a purely money making racket. When the gates open all hell broke loose as the drivers drove at stupid speeds jockeying for position. We were there for 4 hours so why rush. The animals are not going to disappear. Ok if you've never done a safari but not the best.",2019/03/19,Csider65,"Heysham, United Kingdom"
"it is a great place to be there , we as a family had a great time being there. A TRUE PICTURE OF HERITAGE BEING STORED IN SRI LANKA",2019/03/19,PankajJ354,
"Exactly one of the best place to watch sunrise, I didn't pay 5000 rupee to lion rock, I paid only 500 rupee to this rock and I watched one of the best sunrise in my life ever. It needs around 20 min to climb, but...More",2019/03/19,Hawkarhr,"Sulaymaniyah Province, Iraq"
"This particular Rock is an alternative used by the monks as their place of worship and place of meditation. In history the monks used Sigiriya as their place of worship and meditation, But when the king at that time saw this awesome Rock wanted it...More",2019/03/19,GAFFSENA,
"Our concierge told us: ""There's nothing to do in Colombo"". But we took a Tuk Tuk to the museum and spent a happy two hours looking at all the displays. The information was available in English and we had no trouble understanding any of the material. The dioramas recreating early Sri Lankan village life were excellent - very lifelike and convincing and very educational.",2019/03/19,Arden55,Gold Coast
Interesting to compare the fortifications with castles and forts in other European and Asian locations.,2019/03/19,duskfisher,
"This is a fairly active and clean beach, very good for surfers, nice big rolling waves. A lot of scuba diving and primarily whale watching tours are available here.",2019/03/19,Prattyush N,"Mumbai, India"
"Fantastic place, probably the most significant temple of Buddhism in Sri Lanka. Deep religiosity in its interior and architecturally sublime. Absolutely not to be missed.",2019/03/19,V0laviA,"Palermo, Italy"
"As the must see most holy site in Sri Lanka, the temple was a big disappointment. Didn't get to see anything of note, rushed past ""the tooth"", which could really have been anything. Not sure it was worth the trip all the way to Kandy to see it. Also, be aware that they are very strict on dress code for this temple, so do ensure you have knees and shoulders suitably covered.",2019/03/19,EuanS_12,"Liverpool, UK"
"The temple complex was well maintained with intesting buildings a relics and nice gardens, to walk around a chill out, note I was wearing what I thought were modest shorts just on the knee but the policeman on the gate wouldn't let me in, so I had to purchase a sarong from one of the street vendors to get in but it was worth it, as the temple is the best thing to see in Kandy.",2019/03/19,Gjones1234,"Marple, United Kingdom"
"If you are visiting Kandy, this could be one of your highlights. If you are a traveler and you are interested in the history and architecture, I recommend going on a weekday. During the day the staff are less busy and can answer all you questions with a smile. If you are Buddhist Devotee or experience local devotion to Buddha, make sure you go on a full moon day after 6 PM, the whole place will be lit up with thousands of devotees making their way up to see the relic.",2019/03/19,Vivek R,"Melbourne, Australia"
"It may be that there are times of the day which are better than others to visit this important shrine. Unfortunately, when we were there, so were 712,568 other people, or so it seemed. I saw nothing except the tops of other people's heads. People pressed up against me as I made my way through the procession. It was over 30C and a most unpleasant experience. I would not recommend for those who are claustrophobic.",2019/03/19,Marilyn L,"Ottawa, Canada"
Fortunate to have visited on a Sunday morning full of worshippers w/ offerings. It was so packed & not easy to move around but still worthwhile to experience the musicians at the central hall & watching Buddhist families from all over the country (coming by bus) carrying their colorful offerings. Very ornate with the main focal point being the chamber that houses the tooth relic enshrined in gold. If you’re visiting Kandy this temple is a must see. On the outside garden there is a impressive covered audience hall made of solid wood where SL kings would have visitors. This is the spot where the last king surrendered to the British in 1815 after a 2300 year monarchy rule.,2019/03/19,socratesa,"Los Angeles, California"
"This is a well maintained Buddhist temple in the heart of Colombo City with roadside parking. Apart from the usual prayer room, they hold a huge collection of items of Buddhist era and a good museum. The foreign visitors have to pay an entrance fee of SLR 300. One may need a little over an hour to cover this temple in full.",2019/03/19,884anilkumarr,"Kannur, India"
"My favorite place to forget about everything , best beach in sri lanka , amazing people , the best place to meet new people, night life there is amazing all clubs are amazing even staff amazing & friendly",2019/03/18,alibcc,"Dubai, United Arab Emirates"
"This was the highlight of our stay in Sigiriya, although it was a very hot afternoon we set out from a local hotel, bought the very expensive tickets and then started the climb. There is a long walk even before the climb starts but it's well played out and interesting. The climb can be done at your own pace, there were adequate places to rest. When we reached the top about 90 minutes later the surrounding 360 degree view were well worth the exhaustive nature.",2019/03/18,PravK,West Midlands
"We happened to go to this beach at night and fell for it instantly! It was Christmas time and everyone was in the festive mood. You can find some cool parties happening this side. The restaurants, beach snacks are awesome and the beach is quite wide. Had an amazing time!",2019/03/18,glamadventuress,"Ooty, India"
The safari took four hours so very good value for money. We saw many animals but no leopards. There are a lot of jeeps looking for the animals and on occasion this can be very frustrating as they battle for places. However it’s a great experience and well worth doing,2019/03/18,Ray S,"Market Drayton, United Kingdom"
"We hired a jeep just for ourselves, which was good if you want to a do a bit more of what you want to do. However the amount of Jeeps entering the park at the same time was nothing short of horrific. Our driver and others was hot in the pursuit of Lepoards which in my mind was to intrusive to give any real good sittings. Apparently we saw one at the end of the day but I am not sure about this. Apart from this we had a good day, we saw lots of interesting birds, some crocodiles, Monitor lizards, lots of wild board, deer, buffalo plus the odd Eagle. My wife wanted to see wild Elephants and we did see two from a distance.",2019/03/18,GRB-hsbsb,"Edinburgh, United Kingdom"
"Galle Fort was a lot of fun. It was much bigger than I anticipated. Tip: Find a Tuk Tuk whose driver acts as a guide. They will show you all the places to see in a very efficient manner. If you want to stop for food and drink, they will wait for you too. There are many gorgeous places to see!",2019/03/18,212MarkS,"Mechanicsville, Virginia"
"What an interesting afternoon I had at Galle Fort, Sri Lanka where the taste of Ceylon tea, exotic spices and good beer is never far away! We were staying at Bentota so came during the lunch time and spent our time wandering around and enjoying the piece of history. So strolltaround the fort we plonked ourselves at Sugar Bistro and just chilled!",2019/03/18,glamadventuress,"Ooty, India"
Great little hike with easy gradient some steps at end but challenging but okay . Try to beat heat and go early we started around 0930 and were okay. No toilets so make sure you go beforehand . Great zip lining on the way. Nice views of the surrounding mountains . Well worth the effort. Cute puppies at the top near the Buddha . Some coconut hut on the way up if you need energy burst. Wearing trainers adequate and take hat and sun cream . Great hike and views well worth it,2019/03/18,bindybel,"Melbourne, Australia"
"Great walk, few steep steps towards the top. Awesome views once you are there. Take some food for the dogs at the top.",2019/03/18,jadec818,adelaide
"This area is a ‘must do’ on a visit to Galle. The visible remnants of three successive colonial regimes provide a historic charm to the harbour area. Their buildings enable a proliferation of cuisines to be available in the area, along with museums and shops,...More",2019/03/18,MySemillon,"Newcastle, Australia"
"The beach and rear of the beach leading to the road is a mess. Lots of rubbish and rubble. Could do with a tidy up, and removing some rubble. It is however nice in places, but can be a bit crowded and noisy in the late evening. We did however enjoy having a meal on the beach.",2019/03/18,GRB-hsbsb,"Edinburgh, United Kingdom"
